"STATION","NAME","DATE","TAVG"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-11","67"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-12","70"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-13","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-14","79"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-15","74"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-16","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-17","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-18","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-19","75"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-20","75"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-21","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-22","66"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-23","59"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-24","61"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-25","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-26","80"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-27","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-28","69"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-29","66"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-09-30","66"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-01","57"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-02","56"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-03","54"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-04","58"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-05","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-06","70"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-07","57"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-08","55"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-09","52"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-10","53"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-11","56"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-12","59"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-13","54"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-14","49"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-15","59"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-16","65"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-17","70"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-18","59"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-19","51"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-20","50"
